stt,ten_anh,ground_truth,du_doan_cuoi,du_doan_module_goc,khop_voi_module_goc,dung_bien_so,accuracy_ky_tu,edit_distance,hop_cau_truc_du_doan,so_box_yolo,fallback_anh_goc,so_bien_the_co_text,so_ung_vien,co_ung_vien_dung,ung_vien_thang_hop_cau_truc,ung_vien_thang_so_sua,ung_vien_thang_so_lan,ung_vien_thang_conf,bien_the_thang,ly_do_chon,thoi_gian_ms,nhom_loi
2,002.jpg,59X139458,,,True,False,0.0,9,False,3,False,0,0,False,False,,0,0.0,,Không có ứng viên sau OCR và hậu xử lý,249.294799999916,OCR không đọc ra ký tự
10,010.jpg,71B350531,50S37,50S37,True,False,0.33333333333333337,6,False,1,False,3,2,False,False,1.0,2,0.8427636623382568,crop 0 - Ảnh CLAHE,Hợp cấu trúc=False; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.843,348.78329999628477,OCR đọc thiếu ký tự
13,013.jpg,60F128808,28B68,28B68,True,False,0.33333333333333337,6,False,1,False,1,1,False,False,1.0,1,0.7791541814804077,crop 0 - Ảnh gốc,Hợp cấu trúc=False; sửa 1 ký tự; xuất hiện 1 lần; OCR tin cậy 0.779,203.74700000684243,OCR đọc thiếu ký tự
48,048.jpg,30A48483,30A8483,30A8483,True,False,0.875,1,True,1,False,3,2,True,True,0.0,2,0.9915295839309692,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.992,623.818799998844,Có ứng viên đúng nhưng chọn sai
200,200.jpg,59V200285,59Z00285,59Z00285,True,False,0.7777777777777778,2,True,1,False,3,2,False,True,1.0,2,0.891838550567627,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.892,1417.7345999924,OCR đọc thiếu ký tự
