epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4899.31,1.03533,0.43776,1.0705,0.99296,0.99002,0.99451,0.71626,1.03938,0.36387,1.10314,0.0011882,0.0011882,0.0011882
43,5016.01,1.02738,0.43483,1.05997,0.99023,0.99415,0.99462,0.7186,1.03383,0.36473,1.10593,0.0011684,0.0011684,0.0011684
44,5132.73,1.03205,0.43456,1.06711,0.99122,0.99008,0.99477,0.71318,1.04352,0.36403,1.10919,0.0011486,0.0011486,0.0011486
45,5250.05,1.03473,0.43367,1.06456,0.98836,0.99315,0.99455,0.71601,1.03854,0.36185,1.10731,0.0011288,0.0011288,0.0011288
46,5364.88,1.02668,0.43278,1.06552,0.99646,0.98814,0.99489,0.71691,1.03268,0.35909,1.10347,0.001109,0.001109,0.001109
47,5480.42,1.015,0.42841,1.06057,0.99183,0.99378,0.99469,0.71924,1.0311,0.35521,1.10098,0.0010892,0.0010892,0.0010892
48,5595.95,1.01975,0.42962,1.06295,0.99471,0.98976,0.99477,0.72079,1.03411,0.35487,1.1014,0.0010694,0.0010694,0.0010694
49,5711,1.01531,0.42846,1.06731,0.99358,0.99006,0.99486,0.71944,1.02889,0.35357,1.09823,0.0010496,0.0010496,0.0010496
50,5826.28,1.0129,0.42545,1.0612,0.99529,0.98912,0.9948,0.71623,1.03839,0.35951,1.10684,0.0010298,0.0010298,0.0010298
51,5943.92,1.01544,0.42816,1.06349,0.99455,0.99123,0.99487,0.72077,1.02584,0.3503,1.09973,0.00101,0.00101,0.00101
52,6062.33,1.0193,0.42205,1.05932,0.98999,0.99649,0.99484,0.7215,1.02276,0.34996,1.09083,0.0009902,0.0009902,0.0009902
53,6178.91,1.01092,0.42144,1.05667,0.99183,0.99346,0.99457,0.71874,1.02824,0.35086,1.10143,0.0009704,0.0009704,0.0009704
54,6292.19,1.01328,0.42352,1.06338,0.99412,0.9888,0.99431,0.71787,1.0345,0.35476,1.10004,0.0009506,0.0009506,0.0009506
55,6406.85,1.01102,0.42157,1.05438,0.99432,0.98889,0.99457,0.72155,1.02777,0.34921,1.09775,0.0009308,0.0009308,0.0009308
56,6523.88,1.00514,0.41227,1.05621,0.99357,0.99332,0.99452,0.72068,1.02006,0.34132,1.09417,0.000911,0.000911,0.000911
57,6637.82,1.01124,0.41548,1.05395,0.99414,0.99253,0.99473,0.72621,1.01344,0.34259,1.09305,0.0008912,0.0008912,0.0008912
58,6756.88,1.01372,0.41919,1.06131,0.9953,0.99125,0.99463,0.72419,1.02144,0.34258,1.09282,0.0008714,0.0008714,0.0008714
59,6871.74,1.00236,0.41146,1.05057,0.99559,0.99181,0.99488,0.72212,1.02157,0.34092,1.09346,0.0008516,0.0008516,0.0008516
60,6986.19,1.00227,0.40987,1.05079,0.99705,0.9897,0.99487,0.72375,1.02179,0.34162,1.09274,0.0008318,0.0008318,0.0008318
61,7103.28,0.9946,0.40596,1.05582,0.99491,0.99123,0.9949,0.72275,1.021,0.34287,1.09605,0.000812,0.000812,0.000812
62,7219.49,1.00264,0.41057,1.05792,0.99386,0.99123,0.99482,0.7242,1.02702,0.34133,1.094,0.0007922,0.0007922,0.0007922
63,7335.78,0.99463,0.40805,1.05353,0.99458,0.98947,0.99478,0.72102,1.02386,0.34287,1.09511,0.0007724,0.0007724,0.0007724
64,7448.8,0.98845,0.40307,1.04934,0.99259,0.99181,0.99471,0.72102,1.03117,0.34148,1.0961,0.0007526,0.0007526,0.0007526
65,7564.63,0.98977,0.40172,1.04513,0.995,0.99357,0.99488,0.72636,1.01711,0.33781,1.09213,0.0007328,0.0007328,0.0007328
66,7682.34,0.98903,0.40042,1.04595,0.99589,0.99228,0.99482,0.72281,1.01432,0.33632,1.08961,0.000713,0.000713,0.000713
67,7797.12,0.98574,0.39898,1.04399,0.99532,0.99549,0.99492,0.72519,1.01881,0.33678,1.09097,0.0006932,0.0006932,0.0006932
68,7912.1,0.99392,0.40072,1.05173,0.99532,0.99398,0.99495,0.72459,1.01506,0.33758,1.09097,0.0006734,0.0006734,0.0006734
69,8026.72,0.98763,0.39894,1.04578,0.99793,0.99064,0.99491,0.72858,1.00862,0.33173,1.09023,0.0006536,0.0006536,0.0006536
70,8142.45,0.97815,0.39435,1.04565,0.99627,0.99064,0.99444,0.72303,1.02355,0.33684,1.09733,0.0006338,0.0006338,0.0006338
71,8258.78,0.98192,0.39124,1.04182,0.99574,0.9924,0.99492,0.72952,1.01054,0.3293,1.08813,0.000614,0.000614,0.000614
72,8376.72,0.98299,0.39526,1.0443,0.99647,0.99072,0.99493,0.7279,1.01267,0.33313,1.08989,0.0005942,0.0005942,0.0005942
73,8493.04,0.97051,0.38944,1.04366,0.99416,0.99582,0.99491,0.7278,1.00852,0.32855,1.08912,0.0005744,0.0005744,0.0005744
74,8609.78,0.97717,0.38836,1.04652,0.99356,0.99268,0.99489,0.7286,1.01718,0.33035,1.09176,0.0005546,0.0005546,0.0005546
75,8726.28,0.97743,0.39401,1.04279,0.99347,0.99415,0.99486,0.72902,1.0113,0.33067,1.08857,0.0005348,0.0005348,0.0005348
76,8842.77,0.97723,0.39142,1.04257,0.99372,0.99123,0.99479,0.72563,1.01438,0.33003,1.0917,0.000515,0.000515,0.000515
77,8959.3,0.96446,0.38439,1.03848,0.99694,0.98947,0.99479,0.72931,1.01117,0.32617,1.09082,0.0004952,0.0004952,0.0004952
78,9074.88,0.97606,0.38606,1.046,0.99714,0.99064,0.99496,0.72752,1.01388,0.32792,1.09202,0.0004754,0.0004754,0.0004754
79,9189.68,0.96761,0.383,1.03973,0.99257,0.99532,0.99492,0.72574,1.01459,0.33072,1.09108,0.0004556,0.0004556,0.0004556
80,9303.62,0.96717,0.38955,1.0374,0.99529,0.98896,0.99455,0.72598,1.01,0.3282,1.08841,0.0004358,0.0004358,0.0004358
81,9418.68,0.96441,0.3804,1.03832,0.99764,0.98969,0.99494,0.72618,1.01288,0.33094,1.09027,0.000416,0.000416,0.000416
82,9536.45,0.9604,0.37925,1.03404,0.99683,0.99123,0.99497,0.7277,1.01487,0.32678,1.09287,0.0003962,0.0003962,0.0003962
83,9653.84,0.95657,0.37729,1.03721,0.99765,0.9915,0.99496,0.72725,1.01039,0.32507,1.08973,0.0003764,0.0003764,0.0003764
84,9771.4,0.95354,0.37316,1.03262,0.99425,0.99415,0.99496,0.7269,1.0138,0.32627,1.09023,0.0003566,0.0003566,0.0003566
85,9888.72,0.9564,0.37472,1.03231,0.99357,0.99363,0.99496,0.7284,1.01211,0.32666,1.08963,0.0003368,0.0003368,0.0003368
86,10005,0.95124,0.3714,1.03493,0.99764,0.98906,0.99487,0.72715,1.01168,0.32661,1.0887,0.000317,0.000317,0.000317
87,10122.2,0.96287,0.38084,1.03643,0.99227,0.99474,0.99487,0.72605,1.0127,0.32554,1.08954,0.0002972,0.0002972,0.0002972
88,10238.8,0.9487,0.3736,1.03234,0.99241,0.99407,0.99484,0.72542,1.01371,0.32563,1.09073,0.0002774,0.0002774,0.0002774
89,10356.1,0.94372,0.37016,1.02807,0.9924,0.99291,0.99462,0.72557,1.01363,0.32392,1.09223,0.0002576,0.0002576,0.0002576
90,10473.9,0.95301,0.36871,1.03449,0.99083,0.99415,0.99478,0.72438,1.01454,0.32594,1.09251,0.0002378,0.0002378,0.0002378
91,10588.8,0.93161,0.32594,1.05298,0.99529,0.9891,0.99479,0.72519,1.01473,0.32586,1.09301,0.000218,0.000218,0.000218
92,10701.3,0.93137,0.32364,1.04931,0.99297,0.99167,0.99481,0.72616,1.01509,0.32551,1.09364,0.0001982,0.0001982,0.0001982
93,10815.3,0.92892,0.32075,1.05423,0.99203,0.9924,0.99481,0.72873,1.01561,0.32377,1.09314,0.0001784,0.0001784,0.0001784
94,10928,0.92543,0.32107,1.0545,0.99299,0.99339,0.99435,0.72708,1.01651,0.32352,1.09391,0.0001586,0.0001586,0.0001586
95,11041.2,0.92666,0.32109,1.05343,0.99213,0.9924,0.99424,0.72653,1.01573,0.32397,1.09356,0.0001388,0.0001388,0.0001388
96,11153,0.92222,0.32014,1.04973,0.99276,0.99298,0.99477,0.72717,1.01614,0.32409,1.09374,0.000119,0.000119,0.000119
97,11263.4,0.91687,0.31457,1.04584,0.99298,0.99236,0.99443,0.72702,1.01672,0.32483,1.09408,9.92e-05,9.92e-05,9.92e-05
98,11375.5,0.91229,0.31403,1.04678,0.99185,0.99298,0.9948,0.72553,1.01741,0.32431,1.09511,7.94e-05,7.94e-05,7.94e-05
99,11486,0.91116,0.31378,1.04105,0.99182,0.99328,0.99481,0.72719,1.01605,0.32331,1.09461,5.96e-05,5.96e-05,5.96e-05
100,11599,0.91176,0.31318,1.04634,0.99183,0.99427,0.99481,0.72739,1.01695,0.32315,1.09475,3.98e-05,3.98e-05,3.98e-05
